|w1       | w2     | bias   | X1     | X2     | alpha     | y     | label     |eta*(label-y)| dw1  |dw2     | dtheta  | 
| -------- | -------- | -------- | -------- | -------- | -------- | -------- | -------- | -------- | -------- | -------- | -------- |
|0.00000 | 0.40000 | 0.30000 |     1 |     1 | 0.00000 | 0.66819 |     1 |  4.97718 |     1 |     1 | 1.00000 |
|4.97718 | 5.37718 | 5.27718 |     1 |     0 | 0.00000 | 0.99998 |     0 |  -14.99974 |     1 |     0 | 1.00000 |
|-10.02256 | 5.37718 | -9.72256 |     0 |     1 | 0.00000 | 0.99865 |     0 |  -14.97980 |     0 |     1 | 1.00000 |
|-10.02256 | -9.60262 | -24.70236 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|-10.02256 | -9.60262 | -24.70236 |     1 |     1 | 0.00000 | 0.00000 |     1 |  15.00000 |     1 |     1 | 1.00000 |
|4.97744 | 5.39738 | -9.70236 |     1 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     1 |     0 | 1.00000 |
|4.97744 | 5.39738 | -9.70236 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|4.97744 | 5.39738 | -9.70236 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|4.97744 | 5.39738 | -9.70236 |     1 |     1 | 0.00000 | 0.66205 |     1 |  5.06919 |     1 |     1 | 1.00000 |
|10.04663 | 10.46656 | -4.63317 |     1 |     0 | 0.00000 | 0.99773 |     0 |  -14.96596 |     1 |     0 | 1.00000 |
|-4.91933 | 10.46656 | -19.59913 |     0 |     1 | 0.00000 | 0.04536 |     0 |  -0.68043 |     0 |     1 | 1.00000 |
|-4.91933 | 9.78613 | -20.27957 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|-4.91933 | 9.78613 | -20.27957 |     1 |     1 | 0.00000 | 0.00000 |     1 |  15.00000 |     1 |     1 | 1.00000 |
